他& number_of_appearances:3630
站立& number_of_appearances:3
起来& number_of_appearances:163
开始& number_of_appearances:131
了& number_of_appearances:3035
的& number_of_appearances:5057
新生& number_of_appearances:1
周围& number_of_appearances:22
漆黑& number_of_appearances:5
寒冷& number_of_appearances:2
空气& number_of_appearances:22
污浊& number_of_appearances:1
尘土& number_of_appearances:10
飞扬& number_of_appearances:1
金属& number_of_appearances:51
地面& number_of_appearances:37
与& number_of_appearances:174
相接& number_of_appearances:3
一阵& number_of_appearances:97
猛烈& number_of_appearances:8
晃动& number_of_appearances:12
震撼& number_of_appearances:6
着& number_of_appearances:673
脚下& number_of_appearances:5
这& number_of_appearances:603
突如其来& number_of_appearances:6
震动& number_of_appearances:1
让& number_of_appearances:474
跌倒& number_of_appearances:4
在地& number_of_appearances:12
手脚& number_of_appearances:5
并& number_of_appearances:116
用地& number_of_appearances:3
向后& number_of_appearances:22
爬& number_of_appearances:34
几& number_of_appearances:146
步& number_of_appearances:13
虽然& number_of_appearances:46
气温& number_of_appearances:1
很& number_of_appearances:188
低& number_of_appearances:5
可& number_of_appearances:75
额头& number_of_appearances:11
上& number_of_appearances:354
却& number_of_appearances:67
不停& number_of_appearances:40
冒& number_of_appearances:33
出汗& number_of_appearances:3
珠& number_of_appearances:2
后背& number_of_appearances:9
撞& number_of_appearances:27
一面& number_of_appearances:18
坚硬& number_of_appearances:7
墙& number_of_appearances:65
沿& number_of_appearances:6
墙面& number_of_appearances:5
一直& number_of_appearances:91
滑& number_of_appearances:15
到& number_of_appearances:317
房间& number_of_appearances:80
角落& number_of_appearances:26
里& number_of_appearances:405
才& number_of_appearances:94
停下& number_of_appearances:44
跌& number_of_appearances:3
在& number_of_appearances:1553
蜷& number_of_appearances:8
起& number_of_appearances:95
双腿& number_of_appearances:14
紧贴& number_of_appearances:3
身体& number_of_appearances:129
心中& number_of_appearances:99
祈祷& number_of_appearances:4
眼睛& number_of_appearances:136
能& number_of_appearances:276
尽快& number_of_appearances:4
适应& number_of_appearances:5
黑暗& number_of_appearances:45
剧烈& number_of_appearances:7
颠簸& number_of_appearances:2
使& number_of_appearances:2
猛地& number_of_appearances:18
向& number_of_appearances:191
上升& number_of_appearances:11
去& number_of_appearances:420
如同& number_of_appearances:39
一& number_of_appearances:609
部& number_of_appearances:1
矿井& number_of_appearances:1
中的& number_of_appearances:38
老& number_of_appearances:9
电梯& number_of_appearances:7
从& number_of_appearances:286
什么地方& number_of_appearances:16
传来& number_of_appearances:57
锁链& number_of_appearances:1
滑轮& number_of_appearances:1
刺耳& number_of_appearances:11
声音& number_of_appearances:211
仿佛& number_of_appearances:137
一座& number_of_appearances:7
古老& number_of_appearances:2
钢厂& number_of_appearances:1
运转& number_of_appearances:10
那& number_of_appearances:369
回荡& number_of_appearances:12
